,0,1,2,3,4,5,6,7
0,1,1,1,1,5,8,8,8
1,2,2,4,5,5,8,7,7
2,2,2,4,10,5,7,7,6
3,3,3,4,10,10,9,9,6
4,3,3,4,10,9,9,6,6
