,0,1,2,3,4,5,6,7
0,1,1,4,4,4,9,8,8
1,2,1,1,4,10,9,9,8
2,2,2,2,10,10,10,9,8
3,3,3,5,5,7,7,7,7
4,3,3,5,5,6,6,6,6
