,0,1,2,3,4,5,6,7
0,1,4,4,4,4,8,8,8
1,1,1,1,10,10,10,8,7
2,2,2,2,2,10,9,7,7
3,3,3,5,5,9,9,7,6
4,3,3,5,5,9,6,6,6
