,0,1,2,3,4,5,6,7
0,1,4,4,5,5,9,8,8
1,1,1,4,4,5,9,8,8
2,1,2,2,10,5,9,7,7
3,2,2,3,10,10,9,7,7
4,3,3,3,10,6,6,6,6
