,0,1,2,3,4,5,6,7,8,9
0,1,1,1,4,4,6,10,9,9,9
1,2,1,4,4,6,6,10,10,10,9
2,2,1,4,5,6,6,12,10,8,9
3,2,3,3,5,12,12,12,8,8,8
4,2,3,5,5,12,11,11,11,8,7
5,2,3,3,5,11,11,7,7,7,7
