,0,1,2,3,4,5,6,7,8,9
0,1,1,4,4,4,5,10,10,10,8
1,1,4,4,5,5,5,10,9,10,8
2,1,2,2,6,5,11,9,9,9,8
3,1,2,3,6,6,11,11,9,7,8
4,2,2,3,6,12,12,11,11,7,8
5,3,3,3,6,12,12,12,7,7,7
