,0,1,2,3,4,5,6,7,8,9
0,1,1,1,1,12,12,8,8,8,8
1,1,2,4,4,4,12,12,10,8,7
2,2,2,2,4,6,6,12,10,10,7
3,3,2,5,4,6,11,11,9,10,7
4,3,3,5,6,6,11,9,9,10,7
5,3,3,5,5,5,11,11,9,9,7
