,0,1,2,3,4,5,6,7,8,9
0,1,1,1,6,6,12,10,10,8,8
1,2,2,1,6,12,12,12,10,10,8
2,3,2,1,6,6,12,9,9,10,8
3,3,2,2,5,5,5,11,9,9,8
4,3,3,5,5,11,11,11,9,7,7
5,3,4,4,4,4,4,11,7,7,7
