,0,1,2,3,4,5,6,7,8,9
0,1,1,1,6,6,11,11,11,11,8
1,1,2,1,5,6,6,11,8,8,8
2,2,2,5,5,5,6,10,10,7,8
3,3,2,2,5,12,12,9,10,7,7
4,3,3,3,3,12,12,9,10,10,7
5,4,4,4,4,4,12,9,9,9,7
