,0,1,2,3,4,5,6,7,8,9
0,1,1,1,4,12,12,9,9,9,9
1,2,1,4,4,4,12,8,8,8,9
2,2,1,4,6,6,12,12,10,8,8
3,2,3,3,5,6,6,11,10,10,7
4,2,3,5,5,5,6,11,10,7,7
5,2,3,3,5,11,11,11,10,7,7
